Type;Card;Cost Money;Effect Money;Effect Army;Discard;Trash;Extra Buys;Draw;Extra Actions;Replace;Upgrade 2;Double Action;Take 4;Take Money2;Take 5;Upgrade Money;Subtitle;Text
Money1;Barter Goods;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Main System of Trade;In the Roman Kingdom's economy, centered on agriculture and pastoralism, bartering dominated. Goods such as grain, livestock, and textiles were exchanged directly, bypassing the need for currency. This barter system allowed for the straightforward trade of local resources, enhancing community cohesion and economic interdependence.
Money2;Aes Rude;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;Primitive Currency;Aes Rude, unworked lumps of bronze, served as one of Rome's earliest forms of currency. These bronze pieces, used prior to the invention of coinage, were weighed for transactions. Their use represents a pivotal moment in the Roman economy's shift from barter to a more sophisticated monetary system.
Army1;Civil Militia;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Citizens as Soldiers;The Roman Kingdom lacked a permanent standing army, relying instead on a civilian militia mobilized during times of war. Men of eligible age were expected to serve, equipped at their own expense, embodying early Roman values of community duty, loyalty, and courage.
Army2;Centuria;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;Military but also Voting Unit;The centuria, comprising 100 men, served dual roles in early Roman society as both a military formation and a political voting block. Central to the Roman military and the Comitia Centuriata, it illustrated the integration of military service with civic privileges and responsibilities.
History;Romulus;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;Founder of Rome;Romulus, mythically conceived by Mars and Rhea Silvia, founded Rome, imbuing the city with its core institutions, such as the Senate. His tale, filled with ambition, conflict, and resolution, exemplifies the virtues of leadership and foresight, cementing his legacy in Roman culture and governance.
History;Sabine Women;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;Abducted and Assimilated, Early Expansion;The legend of the Sabine Women, abducted by Rome's founding men, highlights their crucial role in halting conflict between the Romans and Sabines, leading to a peaceful merger. This event underscores themes of unity and the foundational role of women in Rome's early social fabric.
History;Curiate Assembly;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;earliest legislative body;The Curiate Assembly, Rome's earliest legislative body, was composed of male citizens divided into curiae. With powers to enact laws, declare war, and ratify the selection of kings and magistrates, it played a vital role in the governance and legal foundation of the Roman Kingdom.
History;Solar Calendar;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;Aligning Seasons with Agriculture;Under Numa Pompilius's reforms, Rome transitioned from a lunar to a solar calendar, aligning agricultural practices with the seasons and facilitating the organization of religious and civic events. This change marks a significant advancement in Roman administrative and societal organization.
History;Port of Ostia;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;Crucial First Port;The establishment of the Port of Ostia in the 7th century BC as Rome's sea port, at the Tiber's mouth, highlights its role as a crucial trade and defense hub. Facilitating commerce and cultural exchange across the Mediterranean, it was instrumental in Rome's economic growth and integration into the wider ancient world.
History;Circus Maximus;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;Entertainment and Public Life;As Rome's largest stadium, the Circus Maximus could hold over 150,000 spectators, serving as a venue for chariot races and public festivals. This grand arena reflects the Roman commitment to public entertainment and the monumental scale of their architectural ambitions.
History;Servian Wall;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;First Great City Wall;Constructed in the 6th century BC, the Servian Wall was Rome's defensive barrier against invasions, symbolizing the city's expansion and need for security. This fortification represents a critical phase in Rome's urban development and military architecture.
History;Servian Reforms;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Military Overhaul and More Power to Plebs;Attributed to King Servius Tullius, these reforms restructured Roman military and social organization based on wealth, not birth, democratizing military service and political participation. They laid the foundation for the Republic's class dynamics and civic structure.
History;Centuriate;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Electorial and Military Assembly;Emerging from the Servian Reforms, the Centuriate Assembly redefined Roman citizenship, organizing citizens into military units for electoral purposes. It became central to electing magistrates, enacting legislation, and making key decisions on war, highlighting the evolving democratic processes in Rome.
History;Temple of Jupiter;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Optimus Maximus, the Most Important Temple of Rome;The Temple of Jupiter Optimus Maximus, on the Capitoline Hill, was Ancient Rome's most significant temple. Dedicated to the supreme deity, it served as a focal point for Roman religion and a symbol of the state's aspirations and divine approval.
History;King Election;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;Divine Approval, Consent of Senate and Assembly;In early Rome, the election of kings involved seeking divine approval through augury and securing the consent of the Senate and the people. This process illustrates the complex interplay between theocratic elements and emergent democratic ideals in Roman governance.
History;Military Triumph;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;Ultimate Honor for Victorius Generals;Awarded to victorious generals, the Roman triumph was a magnificent procession celebrating military success. Generals, allowed to enter Rome with their troops, displayed the spoils of war, reinforcing Rome's martial prowess and honoring individual achievements.
History;Pontifex Maximus;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;Chief High Priest;As the chief priest, the Pontifex Maximus oversaw Rome's religious rites and calendar, representing the highest religious authority. This position underscored the integration of religious duties with state governance, reflecting the central role of religion in public and political life.
History;Seven Kings;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;Two Centuries of Elective Monarchy;Rome's legendary seven kings, from Romulus to Tarquin the Proud, were instrumental in shaping the city's early institutions, culture, and societal norms. Each king's contributions were critical to Rome's foundational development and its enduring legacy.
History;Vestal Virgins;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;Six priestesses, Custodians of the Flame;The Vestal Virgins, dedicated to the goddess Vesta, were charged with maintaining her sacred fire, symbolizing Rome's hearth and home. Their service, emphasizing purity and devotion, was essential to the city's spiritual well-being and religious observance.
History;Roman Sewers;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Cloaca Maxima, Draining Marshes and Removing Waste;The Cloaca Maxima, among the earliest sewage systems, exemplified Roman engineering expertise, draining marshes and removing waste. This infrastructure project was vital for Rome's public health, urban sanitation, and the management of water resources.
History;Etruscan Peers;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;Neighboring Cities North of Tiber;The Etruscans, precursors to Roman civilization, significantly influenced Rome's early development in religion, art, and governance. This cultural and political interchange was crucial in shaping Rome's identity and foundational structures.
History;Latin League;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;Regional Defense Coalition South of Tiber;The Latin League, a coalition of Latin cities including Rome, united for mutual defense and shared interests against common threats. This alliance underscores the importance of regional cooperation in Rome's strategic military and political maneuvers.
History;Magna Graecia;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;Helenistic Colonies in Southern Italy;Magna Graecia, denoting Greek-colonized southern Italy, served as a critical conduit for transmitting Greek cultural, philosophical, and technological innovations to Rome. This interaction enriched Roman society and laid the groundwork for Rome's cultural and intellectual achievements.
Action;Grain Harvest;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Agrarian Society, Farming Honorable and Respectable;The grain harvest was pivotal to Rome's survival and stability, providing the staple diet for its population. This agricultural cycle not only fed the city but also influenced Rome's economic policies and social stability.
Action;Roman Gods;5;0;0;0;0;0;2;1;0;0;0;0;0;0;0;Polytheism Intertwined into Society and State;Rome's diverse pantheon, from Jupiter, Mars, Venus, to Minerva, governed every aspect of life and the cosmos, deeply intertwining with state functions and daily existence. These deities represented the societal values, fears, and aspirations of the Roman people.
Action;Plebeians;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;Working and Lower Classes, Struggling for Reforms;The plebeians, encompassing Rome's working and lower classes, played a fundamental role despite initial political exclusion. Their collective struggles for rights and reforms led to significant societal changes, gradually transforming Rome's political landscape.
Action;Patrician Clans;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Rome's Aristocratic Families;The patricians, Rome's aristocratic families, claimed descent from the city's earliest senators, holding sway over its political, religious, and social spheres. Their privileged status underscored the social hierarchies and dynamics of early Roman society.
Action;Seven Hills;5;0;0;0;0;1;4;0;0;0;0;0;0;0;0;Natural Defenses, with Springs and Space for Expansion;Rome, traditionally founded on the Palatine Hill in 753 BC, expanded to include strategic and religious sites like the Capitoline Hill. During the Kingdom period, it grew to encompass the Seven Hills, draining marshes to combat malaria and create public spaces like the Roman Forum. This expansion laid Rome's foundational structure, establishing early boundaries and the urban layout pivotal to its historical development.
Action;Agriculture;5;1;0;0;0;1;1;1;0;0;0;0;0;0;0;Backbone of Roman Economy;"Fertile land around early Rome provided wheat, olives, grapes, and livestock. Cultivation and animal husbandry were intertwined with religious observances, reflecting the societal reverence for farming. Land ownership was a key indicator of status within the patrician class, highlighting the social importance of agriculture. "
Action;Regional Trade;5;2;0;0;0;1;0;2;0;0;0;0;0;0;0;Trade and Culture Crossroads;Strategically situated along the Tiber River and with the establishment of the nearby Port of Ostia, Rome gradually became a commerce hub. Initially trading with neighboring Etruscans and Latin tribes, it soon extended commerce to Greek colonies further south. Key exports included agricultural staples like wheat, olives, and wine.  The flow of goods and cultural exchanges embedded diverse influences into the fabric of Roman society, setting the stage for its later expansion and cultural synthesis.
Action;River Tiber;4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;Freshwater, Trade Connection, and Natural Defense;The Tiber River was essential to Rome’s development, supplying fresh water, facilitating early and crucial trade routes upriver, and serving as a natural defense. By irrigating surrounding farmlands, it underpinned the city's agricultural base, while its flow enabled commerce with inland communities, boosting the early Roman economy. Additionally, the river’s strategic position helped protect the growing settlement from potential invaders. Together, these roles of the Tiber were instrumental in transforming Rome from a modest community into a thriving city-state.
Action;Magistrates;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;Enforcers of Law and Civic Life;Magistrates in the Roman Kingdom held roles that directly impacted daily life and governance. They enforced laws, managed city finances, led military units, and presided over courts and public ceremonies. These officials ensured the community functioned smoothly, from public safety to religious observances. Their work under the king was the early framework of Rome's legal system, setting precedents for public administration.
Action;Latin Language;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;Vernacular of Empire;Latin, the language of Rome, became the administrative and cultural medium, spreading through conquest and assimilation to form the basis of the Romance languages. Its use in literature, law, and communication underscores Rome's enduring cultural legacy.
Action;Saturnalia;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Festival of Social Inversion;Saturnalia, honoring Saturn, reversed social norms in a period of feasting and festivity, embodying themes of renewal and equality. This festival reflects the societal and agricultural significance of Saturn, celebrating the end of the planting season with merriment and social upheaval.
Action;Private Schools;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Cradles of Roman Education;In the Republic, private schooling provided the children of the elite with education in literacy, rhetoric, and moral philosophy, preparing them for leadership roles. This system underscores the value placed on education and civic preparedness in Roman society.
Action;Military Outposts;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Frontiers of Roman Control;Established in newly conquered areas, military outposts secured Roman authority and facilitated regional administration. These garrisons were instrumental in Rome's strategic defense and expansion, marking the empire's advancing frontiers.
Action;Roman Phalanx;6;0;2;0;0;0;1;1;0;0;0;0;0;0;0;Formation for Battle;The Roman phalanx, a military formation borrowed and adapted from the Greeks, was crucial for Rome's early military engagements. Comprising closely arrayed soldiers armed with spears and shields, it highlighted Rome's tactical adaptability, later giving way to the more flexible manipular formation.
Action;Urban Prefect;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Civic Order Overseer;The Urban Prefect, appointed to manage Rome's internal affairs, particularly in the absence of military leaders, underscored the importance of maintaining civic order, justice, and administrative oversight within the burgeoning metropolis.
Action;Debt Bondage;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;Economic Coercion;Debt bondage, where individuals pledged service as loan collateral, was prevalent in early Rome, often leading to abuse and social unrest. This practice drove the plebeian struggle for legal and social reforms, highlighting the economic disparities and tensions within Roman society.
Action;Palatine Hill;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Birthplace of Rome;Palatine Hill, fabled as the location of Rome's foundation by Romulus, became the residence of its emperors and nobility, symbolizing the city's political and religious core. This hill embodies Rome's historical and mythological roots, serving as a focal point for its founding legends.
Action;Roman Senate;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;Consultative Aristocracy;The Roman Senate, composed of the republic's most experienced and esteemed citizens, functioned as a pivotal advisory body. Influencing legislation, foreign policy, and fiscal affairs, the Senate played a critical role in Rome's governance, exemplifying the power of wisdom and tradition.
Action;Public Forum;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;Center of Roman Life;The Roman Forum stood at the heart of Roman social, political, and economic activity, hosting public discourse, legal proceedings, elections, and trade. As the epicenter of public life, it symbolized the vibrancy of the Roman polity and its civic culture.
Action;Mars;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;Deity of War and Agriculture;Mars, venerated as both the god of war and protector of agriculture, embodies the dual essence of Roman divinity, integrating martial valor with the fertility of the land. As the mythical father of Romulus and Remus, Mars is central to Rome's foundational myths and civic religion.
Victory1;Tyrant Exile;0;-3;-3;0;0;0;0;0;0;0;0;0;0;0;0;End of Monarchy;The expulsion of Tarquin the Proud, Rome's last king, due to tyrannical rule, marked the transition from monarchy to republic. This shift was driven by a collective desire to prevent the concentration of power, leading to the establishment of a more balanced governmental structure.
Victory2;Dual Consuls;0;-4;-4;0;0;0;0;0;0;0;0;0;0;0;0;Bipartite Executive;Replacing monarchical rule, the introduction of dual consuls in the early Republic ensured shared executive power. Elected annually, these consuls embodied the republican principle of divided authority, serving as both military commanders and chief administrators, mitigating the risks of tyranny.
Victory3;Regillus Victory;0;-5;-5;0;0;0;0;0;0;0;0;0;0;0;0;Military and Divine Triumph;The Battle of Lake Regillus, a foundational victory against the Latin League, underscored Roman military capability and the perceived support of deities like Castor and Pollux. This victory not only bolstered Rome's military reputation but also reinforced its divine protection and martial spirit.